[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:0 NAME:System Idle Process
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4 NAME:System
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:12296 NAME:RuntimeBroker.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4112 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:9232 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4120 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:8228 NAME:SearchIndexer.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:24612 NAME:conhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:32808 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:34856 NAME:Spotify.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:23592 NAME:SystemSettings.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:9264 NAME:wsl.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:11312 NAME:conhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:21552 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4148 NAME:GameManagerService.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:17460 NAME:OverwolfBrowser.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:19508 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:18488 NAME:RvRvpnGui.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4156 NAME:nvcontainer.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:2112 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:36928 NAME:Spotify.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1088 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:72 NAME:
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4168 NAME:WsNativePushService.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:8264 NAME:RuntimeBroker.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:14412 NAME:steam.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:2128 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4176 NAME:RazerCentralService.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:20560 NAME:OverwolfHelper64.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:3152 NAME:Spotify.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1116 NAME:fontdrvhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:1120 NAME:fontdrvhost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:17504 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:2152 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:37992 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:13420 NAME:svchost.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:2160 NAME:MemCompression
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:10352 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:15484 NAME:chrome.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:33916 NAME:python.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:17536 NAME:XboxPcAppFT.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:18564 NAME:WSHelper.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:24708 NAME:RuntimeBroker.exe
[2026-02-20 22:29:31] USER:Alena | EVENT:process_start | PID:4232 NAME:lghub_updater.exe
